Column1,work_year,Experience,experience_level,EmpType,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,companyseze,,Ex level,Ex level FF
26,2020,Junior,EN,Full Time,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,Large,,,
27,2020,Senior,SE,Full Time,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,Small,,,
28,2020,Junior,EN,Contract,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Large,,,
29,2020,Senior,SE,Full Time,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,Large,,,
30,2020,Intermediate,MI,Full Time,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,Small,,,
31,2020,Junior,EN,Full Time,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,Large,,,
32,2020,Senior,SE,Full Time,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Large,,,
33,2020,Intermediate,MI,Full Time,FT,Research Scientist,450000,USD,450000,US,0,US,M,Medium,,,
34,2020,Intermediate,MI,Full Time,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Large,,,
35,2020,Intermediate,MI,Full Time,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,Large,,,
36,2020,Intermediate,MI,Full Time,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,Large,,,
37,2020,Junior,EN,Full Time,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,Large,,,
38,2020,Junior,EN,Full Time,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Small,,,
39,2020,Junior,EN,Full Time,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,Small,,,
40,2020,Intermediate,MI,Full Time,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Small,,,
41,2020,Director,EX,Full Time,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,Large,,,
42,2020,Intermediate,MI,Full Time,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,Medium,,,
43,2020,Intermediate,MI,Full Time,FT,Data Engineer,106000,USD,106000,US,100,US,L,Large,,,
44,2020,Intermediate,MI,Full Time,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Large,,,
45,2020,Junior,EN,Part Time,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S,Small,,,
46,2020,Intermediate,MI,Full Time,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,Small,,,
47,2020,Senior,SE,Full Time,FT,Data Engineer,188000,USD,188000,US,100,US,L,Large,,,
48,2020,Intermediate,MI,Full Time,FT,Data Scientist,105000,USD,105000,US,100,US,L,Large,,,
49,2020,Intermediate,MI,Full Time,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,Large,,,
50,2020,Junior,EN,Full Time,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,Small,,,
51,2020,Junior,EN,Full Time,FT,Data Analyst,91000,USD,91000,US,100,US,L,Large,,,
52,2020,Junior,EN,Full Time,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S,Small,,,
53,2020,Junior,EN,Full Time,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,Large,,,
54,2020,Senior,SE,Freelance,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,Small,,,
55,2020,Senior,SE,Full Time,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,Medium,,,
56,2020,Intermediate,MI,Full Time,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,Medium,,,
57,2020,Intermediate,MI,Full Time,FT,Data Scientist,118000,USD,118000,US,100,US,M,Medium,,,
58,2020,Senior,SE,Full Time,FT,Data Scientist,120000,USD,120000,US,50,US,L,Large,,,
59,2020,Intermediate,MI,Full Time,FT,Data Scientist,138350,USD,138350,US,100,US,M,Medium,,,
60,2020,Intermediate,MI,Full Time,FT,Data Engineer,110000,USD,110000,US,100,US,L,Large,,,
61,2020,Intermediate,MI,Full Time,FT,Data Engineer,130800,USD,130800,ES,100,US,M,Medium,,,
62,2020,Junior,EN,Part Time,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S,Small,,,
63,2020,Senior,SE,Full Time,FT,Data Scientist,412000,USD,412000,US,100,US,L,Large,,,
64,2020,Senior,SE,Full Time,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,Small,,,
65,2020,Junior,EN,Full Time,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,Small,,,
66,2020,Junior,EN,Full Time,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,Small,,,
67,2020,Senior,SE,Full Time,FT,Data Science Manager,190200,USD,190200,US,100,US,M,Medium,,,
68,2020,Junior,EN,Full Time,FT,Data Scientist,105000,USD,105000,US,100,US,S,Small,,,
69,2020,Senior,SE,Full Time,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,Small,,,
70,2020,Intermediate,MI,Full Time,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,Small,,,
71,2020,Intermediate,MI,Full Time,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,Small,,,
72,2021,Junior,EN,Full Time,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,Large,,,
73,2021,Director,EX,Full Time,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Large,,,
74,2021,Director,EX,Full Time,FT,Head of Data,235000,USD,235000,US,100,US,L,Large,,,
75,2021,Senior,SE,Full Time,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,Large,,,
76,2021,Intermediate,MI,Full Time,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Medium,,,
77,2021,Intermediate,MI,Part Time,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,Medium,,,
78,2021,Intermediate,MI,Contract,CT,ML Engineer,270000,USD,270000,US,100,US,L,Large,,,
79,2021,Junior,EN,Full Time,FT,Data Analyst,80000,USD,80000,US,100,US,M,Medium,,,
80,2021,Senior,SE,Full Time,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,Large,,,
81,2021,Intermediate,MI,Full Time,FT,Data Engineer,140000,USD,140000,US,100,US,L,Large,,,
82,2021,Intermediate,MI,Full Time,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,Large,,,
83,2021,Intermediate,MI,Full Time,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,Small,,,
84,2021,Director,EX,Full Time,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L,Large,,,
85,2021,Intermediate,MI,Full Time,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,Large,,,
86,2021,Junior,EN,Full Time,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,Medium,,,
87,2021,Intermediate,MI,Full Time,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Large,,,
88,2021,Senior,SE,Full Time,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Large,,,
89,2021,Senior,SE,Full Time,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Small,,,
90,2021,Senior,SE,Full Time,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,Large,,,
91,2021,Junior,EN,Full Time,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,Small,,,
92,2021,Intermediate,MI,Full Time,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,Large,,,
93,2021,Senior,SE,Full Time,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,Large,,,
94,2021,Junior,EN,Full Time,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L,Large,,,
95,2021,Intermediate,MI,Full Time,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,Large,,,
96,2021,Junior,EN,Part Time,PT,AI Scientist,12000,USD,12000,BR,100,US,S,Small,,,
97,2021,Intermediate,MI,Full Time,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,Large,,,
98,2021,Junior,EN,Full Time,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Medium,,,
99,2021,Intermediate,MI,Full Time,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,Small,,,
100,2021,Intermediate,MI,Full Time,FT,Data Analyst,75000,USD,75000,US,0,US,L,Large,,,
101,2021,Senior,SE,Full Time,FT,Data Engineer,150000,USD,150000,US,100,US,L,Large,,,
102,2021,Intermediate,MI,Full Time,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,Large,,,
103,2021,Intermediate,MI,Full Time,FT,Data Analyst,62000,USD,62000,US,0,US,L,Large,,,
104,2021,Intermediate,MI,Full Time,FT,Data Scientist,73000,USD,73000,US,0,US,L,Large,,,
105,2021,Intermediate,MI,Full Time,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,Large,,,
106,2021,Intermediate,MI,Full Time,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L,Large,,,
107,2021,Senior,SE,Full Time,FT,Data Engineer,115000,USD,115000,US,100,US,S,Small,,,
108,2021,Senior,SE,Full Time,FT,Data Engineer,150000,USD,150000,US,100,US,M,Medium,,,
109,2021,Junior,EN,Full Time,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L,Large,,,
110,2021,Senior,SE,Full Time,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,Large,,,
111,2021,Senior,SE,Full Time,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,Medium,,,
112,2021,Senior,SE,Full Time,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,Small,,,
113,2021,Junior,EN,Part Time,PT,AI Scientist,12000,USD,12000,PK,100,US,M,Medium,,,
114,2021,Intermediate,MI,Full Time,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L,Large,,,
115,2021,Junior,EN,Full Time,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Large,,,
116,2021,Intermediate,MI,Full Time,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,Large,,,
117,2021,Intermediate,MI,Full Time,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,Medium,,,
118,2021,Junior,EN,Full Time,FT,Data Analyst,90000,USD,90000,US,100,US,S,Small,,,
119,2021,Intermediate,MI,Full Time,FT,Data Engineer,200000,USD,200000,US,100,US,L,Large,,,
120,2021,Intermediate,MI,Full Time,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M,Medium,,,
121,2021,Senior,SE,Full Time,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M,Medium,,,
122,2021,Junior,EN,Full Time,FT,Data Analyst,50000,USD,50000,US,100,US,M,Medium,,,
123,2021,Junior,EN,Full Time,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,Large,,,
124,2021,Junior,EN,Part Time,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M,Medium,,,
125,2021,Intermediate,MI,Full Time,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L,Large,,,
126,2021,Senior,SE,Full Time,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S,Small,,,
127,2021,Intermediate,MI,Full Time,FT,Data Scientist,700000,INR,9466,IN,0,IN,S,Small,,,
128,2021,Junior,EN,Full Time,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,Small,,,
129,2021,Senior,SE,Full Time,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,Large,,,
130,2021,Junior,EN,Full Time,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,Small,,,
131,2021,Junior,EN,Full Time,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M,Medium,,,
132,2021,Intermediate,MI,Full Time,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,Medium,,,
133,2021,Senior,SE,Full Time,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,Medium,,,
134,2021,Junior,EN,Full Time,FT,Data Scientist,100000,USD,100000,US,0,US,S,Small,,,
135,2021,Intermediate,MI,Full Time,FT,Data Analyst,90000,USD,90000,US,100,US,M,Medium,,,
136,2021,Intermediate,MI,Full Time,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S,Small,,,
137,2021,Intermediate,MI,Full Time,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S,Small,,,
138,2021,Senior,SE,Full Time,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L,Large,,,
139,2021,Junior,EN,Full Time,FT,Data Scientist,80000,USD,80000,US,100,US,M,Medium,,,
140,2021,Intermediate,MI,Full Time,FT,Data Analyst,135000,USD,135000,US,100,US,L,Large,,,
141,2021,Senior,SE,Full Time,FT,Data Science Manager,240000,USD,240000,US,0,US,L,Large,,,
142,2021,Senior,SE,Full Time,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L,Large,,,
143,2021,Intermediate,MI,Full Time,FT,Data Scientist,82500,USD,82500,US,100,US,S,Small,,,
144,2021,Intermediate,MI,Full Time,FT,Data Engineer,100000,USD,100000,US,100,US,L,Large,,,
145,2021,Senior,SE,Full Time,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,Medium,,,
146,2021,Intermediate,MI,Full Time,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M,Medium,,,
147,2021,Intermediate,MI,Full Time,FT,Data Engineer,90000,USD,90000,US,100,US,L,Large,,,
148,2021,Senior,SE,Full Time,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,Large,,,
149,2021,Senior,SE,Full Time,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,Small,,,
150,2021,Senior,SE,Full Time,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S,Small,,,
151,2021,Intermediate,MI,Full Time,FT,Data Scientist,150000,USD,150000,US,100,US,M,Medium,,,
152,2021,Intermediate,MI,Full Time,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,Large,,,
153,2021,Junior,EN,Full Time,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,Large,,,
154,2021,Senior,SE,Full Time,FT,Data Science Manager,144000,USD,144000,US,100,US,L,Large,,,
155,2021,Senior,SE,Full Time,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,Large,,,
156,2021,Intermediate,MI,Full Time,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M,Medium,,,
157,2021,Intermediate,MI,Full Time,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,Large,,,
158,2021,Senior,SE,Full Time,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M,Medium,,,
159,2021,Junior,EN,Full Time,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S,Small,,,
160,2021,Director,EX,Full Time,FT,Head of Data,230000,USD,230000,RU,50,RU,L,Large,,,
161,2021,Director,EX,Full Time,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M,Medium,,,
162,2021,Intermediate,MI,Full Time,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L,Large,,,
163,2021,Junior,EN,Full Time,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,Large,,,
164,2021,Director,EX,Full Time,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M,Medium,,,
165,2021,Senior,SE,Full Time,FT,Data Specialist,165000,USD,165000,US,100,US,L,Large,,,
166,2021,Junior,EN,Full Time,FT,Data Engineer,80000,USD,80000,US,100,US,L,Large,,,
167,2021,Director,EX,Full Time,FT,Director of Data Science,250000,USD,250000,US,0,US,L,Large,,,
168,2021,Junior,EN,Full Time,FT,BI Data Analyst,55000,USD,55000,US,50,US,S,Small,,,
169,2021,Intermediate,MI,Full Time,FT,Data Architect,150000,USD,150000,US,100,US,L,Large,,,
170,2021,Intermediate,MI,Full Time,FT,Data Architect,170000,USD,170000,US,100,US,L,Large,,,
171,2021,Intermediate,MI,Full Time,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L,Large,,,
172,2021,Junior,EN,Full Time,FT,Data Analyst,60000,USD,60000,US,100,US,S,Small,,,
173,2021,Senior,SE,Full Time,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L,Large,,,
174,2021,Senior,SE,Full Time,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L,Large,,,
175,2021,Senior,SE,Full Time,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L,Large,,,
176,2021,Intermediate,MI,Full Time,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S,Small,,,
177,2021,Intermediate,MI,Full Time,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L,Large,,,
178,2021,Junior,EN,Full Time,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S,Small,,,
179,2021,Intermediate,MI,Full Time,FT,Data Scientist,420000,INR,5679,IN,100,US,S,Small,,,
180,2021,Intermediate,MI,Full Time,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,Large,,,
181,2021,Intermediate,MI,Full Time,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Large,,,
182,2021,Intermediate,MI,Full Time,FT,Data Engineer,22000,EUR,26005,RO,0,US,L,Large,,,
183,2021,Senior,SE,Full Time,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,Large,,,
184,2021,Intermediate,MI,Freelance,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,Medium,,,
185,2021,Intermediate,MI,Full Time,FT,Data Engineer,4000,USD,4000,IR,100,IR,M,Medium,,,
186,2021,Senior,SE,Full Time,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,Medium,,,
187,2021,Director,EX,Full Time,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,Small,,,
188,2021,Senior,SE,Full Time,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S,Small,,,
189,2021,Intermediate,MI,Full Time,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,Small,,,
190,2021,Senior,SE,Full Time,FT,Data Science Manager,152000,USD,152000,US,100,FR,L,Large,,,
191,2021,Junior,EN,Full Time,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,Medium,,,
192,2021,Intermediate,MI,Full Time,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S,Small,,,
193,2021,Senior,SE,Full Time,FT,Data Science Manager,174000,USD,174000,US,100,US,L,Large,,,
194,2021,Senior,SE,Full Time,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L,Large,,,
195,2021,Intermediate,MI,Full Time,FT,Data Scientist,147000,USD,147000,US,50,US,L,Large,,,
196,2021,Junior,EN,Full Time,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S,Small,,,
197,2021,Senior,SE,Full Time,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,Large,,,
198,2021,Senior,SE,Full Time,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L,Large,,,
199,2021,Junior,EN,Full Time,FT,Data Science Consultant,90000,USD,90000,US,100,US,S,Small,,,
200,2021,Intermediate,MI,Full Time,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M,Medium,,,
201,2021,Senior,SE,Full Time,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,Medium,,,
202,2021,Intermediate,MI,Full Time,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L,Large,,,
203,2021,Senior,SE,Full Time,FT,Research Scientist,50000,USD,50000,FR,100,US,S,Small,,,
204,2021,Intermediate,MI,Full Time,FT,Data Scientist,160000,USD,160000,US,100,US,L,Large,,,
205,2021,Intermediate,MI,Full Time,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S,Small,,,
206,2021,Senior,SE,Full Time,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L,Large,,,
207,2021,Senior,SE,Full Time,FT,Data Engineer,165000,USD,165000,US,0,US,M,Medium,,,
208,2021,Intermediate,MI,Freelance,FL,Data Engineer,20000,USD,20000,IT,0,US,L,Large,,,
209,2021,Senior,SE,Full Time,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L,Large,,,
210,2021,Intermediate,MI,Full Time,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L,Large,,,
211,2021,Intermediate,MI,Full Time,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S,Small,,,
212,2021,Intermediate,MI,Full Time,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S,Small,,,
213,2021,Junior,EN,Full Time,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L,Large,,,
214,2021,Junior,EN,Full Time,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M,Medium,,,
215,2021,Senior,SE,Full Time,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L,Large,,,
216,2021,Junior,EN,Part Time,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S,Small,,,
217,2021,Intermediate,MI,Full Time,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Large,,,
218,2021,Intermediate,MI,Full Time,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M,Medium,,,
219,2021,Senior,SE,Full Time,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L,Large,,,
220,2021,Intermediate,MI,Full Time,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L,Large,,,
221,2021,Intermediate,MI,Full Time,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L,Large,,,
222,2021,Intermediate,MI,Full Time,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M,Medium,,,
223,2021,Intermediate,MI,Full Time,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L,Large,,,
224,2021,Senior,SE,Full Time,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,Large,,,
225,2021,Director,EX,Contract,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S,Small,,,
226,2021,Senior,SE,Full Time,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S,Small,,,
227,2021,Intermediate,MI,Full Time,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L,Large,,,
228,2021,Senior,SE,Full Time,FT,Data Scientist,135000,USD,135000,US,0,US,L,Large,,,
229,2021,Senior,SE,Full Time,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M,Medium,,,
230,2021,Junior,EN,Full Time,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L,Large,,,
231,2021,Senior,SE,Full Time,FT,ML Engineer,256000,USD,256000,US,100,US,S,Small,,,
232,2021,Senior,SE,Full Time,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L,Large,,,
233,2021,Senior,SE,Full Time,FT,Data Analyst,200000,USD,200000,US,100,US,L,Large,,,
234,2021,Intermediate,MI,Full Time,FT,Data Architect,180000,USD,180000,US,100,US,L,Large,,,
235,2021,Intermediate,MI,Full Time,FT,Head of Data Science,110000,USD,110000,US,0,US,S,Small,,,
236,2021,Intermediate,MI,Full Time,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M,Medium,,,
237,2021,Intermediate,MI,Full Time,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M,Medium,,,
238,2021,Junior,EN,Full Time,FT,Data Scientist,4000,USD,4000,VN,0,VN,M,Medium,,,
239,2021,Junior,EN,Full Time,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M,Medium,,,
240,2021,Senior,SE,Full Time,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L,Large,,,
241,2021,Intermediate,MI,Full Time,FT,Data Analyst,80000,USD,80000,US,100,US,L,Large,,,
242,2021,Intermediate,MI,Full Time,FT,Data Engineer,110000,USD,110000,US,100,US,L,Large,,,
243,2021,Senior,SE,Full Time,FT,Data Scientist,165000,USD,165000,US,100,US,L,Large,,,
244,2021,Junior,EN,Full Time,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S,Small,,,
245,2021,Intermediate,MI,Full Time,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L,Large,,,
246,2021,Junior,EN,Full Time,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L,Large,,,
247,2021,Intermediate,MI,Full Time,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M,Medium,,,
248,2021,Senior,SE,Full Time,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L,Large,,,
249,2021,Senior,SE,Full Time,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M,Medium,,,
250,2021,Intermediate,MI,Full Time,FT,Data Scientist,115000,USD,115000,US,50,US,L,Large,,,
251,2021,Junior,EN,Full Time,FT,Data Scientist,90000,USD,90000,US,100,US,S,Small,,,
252,2021,Director,EX,Full Time,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L,Large,,,
253,2021,Junior,EN,Full Time,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M,Medium,,,
